BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	4.36273	0.0538091	0.0538091	0
1	4.42736	0.0521572	0.0521572	0
1	4.492	0.0567353	0.0567353	0
1	4.55663	0.052405	0.052405	0
1	4.62126	0.0556877	0.0556877	0
1	4.6859	0.0563771	0.0563771	0
1	4.75053	0.0547291	0.0547291	0
1	4.81516	0.0494525	0.0494525	0
1	4.87979	0.0560896	0.0560896	0
1	4.94443	0.0547868	0.0547868	0
1	5.00906	0.0564533	0.0564533	0
1	5.07369	0.0550557	0.0550557	0
1	5.13833	0.0534321	0.0534321	0
1	5.20296	0.0579278	0.0579278	0
1	5.26759	0.0554808	0.0554808	0
1	5.33223	0.0578175	0.0578175	0
1	5.39686	0.0587639	0.0587639	0
1	5.46149	0.0572267	0.0572267	0
1	5.52612	0.058487	0.058487	0
1	5.59076	0.0580289	0.0580289	0
1	5.65539	0.0559533	0.0559533	0
1	5.72002	0.0527568	0.0527568	0
1	5.78466	0.0548624	0.0548624	0
1	5.84929	0.0531832	0.0531832	0
1	5.91392	0.0532656	0.0532656	0
1	5.97856	0.0535895	0.0535895	0
1	6.04319	0.0538867	0.0538867	0
1	6.10782	0.0523025	0.0523025	0
1	6.17246	0.0541641	0.0541641	0
1	6.23709	0.0562778	0.0562778	0
1	6.30172	0.0567234	0.0567234	0
1	6.36635	0.0547334	0.0547334	0
1	6.43099	0.0552729	0.0552729	0
2	0.0323165	0	0	0
2	0.0969496	0	0	0
2	0.161583	0	0	0
2	0.226216	0	0	0
2	0.290849	0	0	0
2	0.355482	0	0	0
2	0.420115	0	0	0
2	0.484748	0	0	0
2	0.549381	0	0	0
2	0.614014	0	0	0
2	0.678647	0	0	0
2	0.74328	0	0	0
2	0.807913	0	0	0
2	0.872546	0	0	0
2	0.937179	0.00639047	0.00482867	0.00110436
2	1.00181	0.0419214	0.0378804	0.00285743
2	1.06645	0.0656374	0.0583141	0.00517834
2	1.13108	0.0554316	0.0542424	0.000840931
2	1.19571	0.061527	0.0601465	0.000976146
2	1.26034	0.0689054	0.056509	0.00876561
2	1.32498	0.0523674	0.051697	0.000474087
2	1.38961	0.05889	0.0587523	9.73346e-05
2	1.45424	0.0449923	0.042983	0.00142078
2	1.51888	0.0497417	0.0494455	0.000209454
2	1.58351	0.0412005	0.0387242	0.001751
2	1.64814	0.0305263	0.0339293	0.00240625
2	1.71278	0.0345375	0.0379462	0.00241029
2	1.77741	0.032086	0.0397019	0.0053853
2	1.84204	0.0343788	0.0435393	0.00647741
2	1.90667	0.0377886	0.0384816	0.000489969
2	1.97131	0.0351801	0.0370515	0.00132327
2	2.03594	0.0351508	0.0372111	0.00145687
2	2.10057	0.0376838	0.0378581	0.000123248
2	2.16521	0.0400876	0.0390815	0.000711478
2	2.22984	0.0382712	0.038079	0.000135918
2	2.29447	0.0466582	0.0433183	0.00236161
2	2.35911	0.048681	0.0498984	0.000860824
2	2.42374	0.0436356	0.0462605	0.00185609
2	2.48837	0.0420234	0.0455615	0.00250184
2	2.55301	0.0466013	0.0478672	0.000895154
2	2.61764	0.0456037	0.0488234	0.00227667
2	2.68227	0.0478408	0.0500353	0.00155177
2	2.7469	0.0426101	0.0445822	0.00139446
2	2.81154	0.0474872	0.0448164	0.00188855
2	2.87617	0.0462138	0.0483749	0.00152817
2	2.9408	0.0442282	0.04314	0.000769428
2	3.00544	0.0445959	0.0452268	0.000446124
2	3.07007	0.0459021	0.0480566	0.00152347
2	3.1347	0.045826	0.0506801	0.00343235
2	3.19934	0.0491729	0.0483081	0.000611494
2	3.26397	0.0545404	0.0503325	0.00297542
2	3.3286	0.0531692	0.0501883	0.00210777
2	3.39323	0.0526957	0.051227	0.00103856
2	3.45787	0.0502288	0.0481096	0.00149849
2	3.5225	0.0505678	0.0477724	0.00197665
2	3.58713	0.0531983	0.048322	0.00344804
2	3.65177	0.0577375	0.0501148	0.00539006
2	3.7164	0.0564216	0.0501382	0.00444303
2	3.78103	0.0537556	0.0487605	0.00353207
2	3.84567	0.0536084	0.0511789	0.00171792
2	3.9103	0.0501746	0.0507227	0.000387581
2	3.97493	0.0510333	0.0497151	0.000932144
2	4.03957	0.0528255	0.048293	0.00320498
2	4.1042	0.0476925	0.050144	0.00173346
2	4.16883	0.050484	0.0510262	0.000383388
2	4.23346	0.0496779	0.0506318	0.000674518
2	4.2981	0.0554761	0.0534294	0.00144722
2	4.36273	0.0533799	0.0535945	0.000151747
2	4.42736	0.0483206	0.0502389	0.00135645
2	4.492	0.0557275	0.0562314	0.000356326
2	4.55663	0.0544275	0.0534162	0.000715067
2	4.62126	0.0586577	0.0571727	0.00105003
2	4.6859	0.0536569	0.055017	0.000961749
2	4.75053	0.0545758	0.0546524	5.4175e-05
2	4.81516	0.0548582	0.0521554	0.0019112
2	4.87979	0.0572951	0.0566923	0.000426204
2	4.94443	0.0544055	0.0545961	0.000134802
2	5.00906	0.0514138	0.0539335	0.00178176
2	5.07369	0.0522003	0.053628	0.00100954
2	5.13833	0.0526315	0.0530318	0.000283072
2	5.20296	0.0507532	0.0543405	0.0025366
2	5.26759	0.0547318	0.0551063	0.0002648
2	5.33223	0.0539885	0.055903	0.00135375
2	5.39686	0.0540936	0.0564287	0.00165118
2	5.46149	0.0535583	0.0553925	0.00129698
2	5.52612	0.0525546	0.0555208	0.00209743
2	5.59076	0.0513216	0.0546752	0.00237139
2	5.65539	0.0520754	0.0540143	0.00137106
2	5.72002	0.0535126	0.0531347	0.000267222
2	5.78466	0.0529131	0.0538877	0.00068919
2	5.84929	0.0513052	0.0522442	0.000663983
2	5.91392	0.0519128	0.0525892	0.000478268
2	5.97856	0.0554787	0.0545341	0.000667955
2	6.04319	0.0548151	0.0543509	0.000328251
2	6.10782	0.0535544	0.0529284	0.000442593
2	6.17246	0.0501229	0.0521435	0.00142878
2	6.23709	0.0553937	0.0558358	0.000312582
2	6.30172	0.0523418	0.0545326	0.00154915
2	6.36635	0.0543907	0.054562	0.000121158
2	6.43099	0.050478	0.0528755	0.00169523
3	0.0323165	0	0	0
3	0.0969496	0	0	0
3	0.161583	0	0	0
3	0.226216	0	0	0
3	0.290849	0	0	0
3	0.355482	0	0	0
3	0.420115	0	0	0
3	0.484748	0	0	0
3	0.549381	0	0	0
3	0.614014	0	0	0
3	0.678647	0	0	0
3	0.74328	0	0	0
3	0.807913	0	0	0
3	0.872546	0	0	0
3	0.937179	0.00326688	0.00430807	0.000850134
