BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
212	-5.46653	-5.44097	0.00218602
213	-5.47094	-5.44111	0.00218029
214	-5.45282	-5.44116	0.00217078
215	-5.46634	-5.44128	0.00216384
216	-5.4482	-5.44131	0.00215406
217	-5.49491	-5.44156	0.00215825
218	-5.43863	-5.44155	0.00214839
219	-5.42762	-5.44148	0.00213953
220	-5.43518	-5.44146	0.00212999
221	-5.45264	-5.44151	0.00212096
222	-5.47501	-5.44166	0.00211676
223	-5.44015	-5.44165	0.00210728
224	-5.46895	-5.44177	0.0021014
225	-5.45681	-5.44184	0.00209312
226	-5.44677	-5.44186	0.00208397
227	-5.46888	-5.44198	0.00207819
228	-5.39953	-5.44179	0.0020774
229	-5.46506	-5.4419	0.00207081
230	-5.46938	-5.44201	0.00206525
231	-5.45257	-5.44206	0.00205682
232	-5.45676	-5.44212	0.00204893
233	-5.49059	-5.44233	0.00205066
234	-5.47009	-5.44245	0.00204533
235	-5.4268	-5.44238	0.00203771
236	-5.39668	-5.44219	0.00203826
237	-5.46355	-5.44228	0.00203165
238	-5.48338	-5.44245	0.00203044
239	-5.39297	-5.44225	0.00203247
240	-5.46893	-5.44236	0.00202704
241	-5.47074	-5.44247	0.00202205
242	-5.44489	-5.44248	0.00201372
243	-5.42845	-5.44243	0.00200626
244	-5.45093	-5.44246	0.00199834
245	-5.43351	-5.44243	0.00199052
246	-5.44603	-5.44244	0.00198248
247	-5.47004	-5.44255	0.0019776
248	-5.43829	-5.44253	0.0019697
249	-5.42662	-5.44247	0.00196283
250	-5.49063	-5.44266	0.00196441
251	-5.40757	-5.44252	0.00196155
252	-5.47778	-5.44266	0.00195875
253	-5.4152	-5.44255	0.00195401
254	-5.41901	-5.44246	0.00194852
255	-5.46569	-5.44255	0.001943
256	-5.45394	-5.4426	0.00193592
257	-5.44465	-5.44261	0.00192841
258	-5.43785	-5.44259	0.00192102
259	-5.44444	-5.44259	0.00191362
260	-5.42462	-5.44253	0.00190751
261	-5.4172	-5.44243	0.00190266
262	-5.44999	-5.44246	0.00189562
263	-5.42176	-5.44238	0.00189004
264	-5.39989	-5.44222	0.00188972
265	-5.46303	-5.4423	0.00188422
266	-5.48218	-5.44245	0.0018831
267	-5.41948	-5.44236	0.00187801
268	-5.41984	-5.44228	0.00187288
269	-5.46592	-5.44236	0.00186798
270	-5.48582	-5.44252	0.00186798
271	-5.43162	-5.44248	0.00186152
272	-5.47562	-5.44261	0.00185866
273	-5.45842	-5.44266	0.00185275
274	-5.45014	-5.44269	0.00184619
275	-5.42877	-5.44264	0.00184017
276	-5.47052	-5.44274	0.00183627
277	-5.47481	-5.44286	0.00183329
278	-5.40023	-5.4427	0.0018331
279	-5.41837	-5.44262	0.0018286
280	-5.45998	-5.44268	0.00182312
281	-5.46846	-5.44277	0.00181894
282	-5.4907	-5.44294	0.00182041
283	-5.49032	-5.44311	0.00182166
284	-5.44471	-5.44311	0.00181526
285	-5.41823	-5.44303	0.00181098
286	-5.35774	-5.44273	0.00182904
287	-5.40073	-5.44258	0.00182851
288	-5.43924	-5.44257	0.0018222
289	-5.47423	-5.44268	0.00181918
290	-5.44378	-5.44268	0.00181291
291	-5.45298	-5.44272	0.00180703
292	-5.43935	-5.44271	0.00180088
293	-5.46649	-5.44279	0.00179656
294	-5.44208	-5.44279	0.00179045
295	-5.47895	-5.44291	0.00178857
296	-5.44298	-5.44291	0.00178253
297	-5.45726	-5.44296	0.00177718
298	-5.46029	-5.44302	0.00177217
299	-5.3966	-5.44286	0.00177303
300	-5.39791	-5.44271	0.00177344
301	-5.41183	-5.44261	0.00177051
302	-5.40187	-5.44247	0.00176978
303	-5.48169	-5.4426	0.00176867
304	-5.45108	-5.44263	0.00176307
305	-5.45009	-5.44265	0.00175746
306	-5.38072	-5.44245	0.00176333
307	-5.44151	-5.44245	0.00175759
308	-5.45806	-5.4425	0.00175261
309	-5.39426	-5.44234	0.00175388
310	-5.47182	-5.44244	0.0017508
311	-5.40468	-5.44232	0.00174938
312	-5.44845	-5.44234	0.00174388
313	-5.42146	-5.44227	0.00173958
314	-5.41668	-5.44219	0.00173595
315	-5.43892	-5.44218	0.00173047
316	-5.4642	-5.44225	0.0017264
317	-5.4991	-5.44243	0.00173024
318	-5.46641	-5.4425	0.00172644
319	-5.39891	-5.44237	0.00172643
320	-5.47339	-5.44246	0.00172376
321	-5.46616	-5.44254	0.00171997
322	-5.49321	-5.44269	0.00172181
323	-5.46274	-5.44276	0.0017176
324	-5.3891	-5.44259	0.00172026
325	-5.43787	-5.44258	0.00171503
326	-5.44168	-5.44257	0.00170977
327	-5.41248	-5.44248	0.00170702
328	-5.4012	-5.44236	0.00170645
329	-5.38476	-5.44218	0.00171022
330	-5.44131	-5.44218	0.00170504
331	-5.48375	-5.4423	0.00170451
332	-5.48728	-5.44244	0.00170475
333	-5.43134	-5.44241	0.00169995
334	-5.40277	-5.44229	0.001699
335	-5.45008	-5.44231	0.00169409
336	-5.48016	-5.44242	0.00169279
337	-5.41285	-5.44234	0.00169004
338	-5.40424	-5.44222	0.00168879
339	-5.47371	-5.44232	0.00168636
340	-5.46152	-5.44237	0.00168235
341	-5.46066	-5.44243	0.00167827
342	-5.44024	-5.44242	0.00167337
343	-5.46086	-5.44247	0.00166936
344	-5.44719	-5.44249	0.00166456
345	-5.43158	-5.44246	0.00166004
346	-5.42571	-5.44241	0.00165595
347	-5.40592	-5.4423	0.00165451
348	-5.40485	-5.44219	0.00165325
349	-5.47394	-5.44228	0.00165101
350	-5.438	-5.44227	0.00164634
351	-5.47353	-5.44236	0.00164406
352	-5.42204	-5.4423	0.0016404
353	-5.42536	-5.44226	0.00163646
354	-5.48349	-5.44237	0.00163598
355	-5.46742	-5.44244	0.00163289
356	-5.43351	-5.44242	0.00162849
357	-5.41214	-5.44233	0.00162614
358	-5.45273	-5.44236	0.00162186
359	-5.49374	-5.44251	0.00162364
360	-5.42833	-5.44247	0.00161961
361	-5.47405	-5.44255	0.00161748
362	-5.46439	-5.44261	0.00161414
363	-5.45618	-5.44265	0.00161012
364	-5.49865	-5.4428	0.00161303
365	-5.44043	-5.4428	0.00160863
366	-5.44292	-5.4428	0.00160423
367	-5.43439	-5.44278	0.00160002
