BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
545	1.71278	1.66485	0.0011772
546	1.67394	1.66486	0.00117517
547	1.71188	1.66495	0.00117616
548	1.6759	1.66497	0.00117418
549	1.6398	1.66492	0.00117294
550	1.72176	1.66503	0.00117535
551	1.68366	1.66506	0.0011737
552	1.65618	1.66504	0.00117168
553	1.64921	1.66502	0.00116992
554	1.62302	1.66494	0.00117026
555	1.65644	1.66492	0.00116825
556	1.6265	1.66486	0.00116819
557	1.63852	1.66481	0.00116705
558	1.72218	1.66491	0.00116948
559	1.61009	1.66481	0.00117149
560	1.66333	1.66481	0.0011694
561	1.64438	1.66477	0.00116788
562	1.68352	1.66481	0.00116628
563	1.6853	1.66484	0.00116478
564	1.6905	1.66489	0.0011636
565	1.6583	1.66488	0.0011616
566	1.63057	1.66482	0.00116113
567	1.67612	1.66484	0.00115925
568	1.66517	1.66484	0.00115721
569	1.67185	1.66485	0.00115524
570	1.66156	1.66484	0.00115323
571	1.65812	1.66483	0.00115127
572	1.67176	1.66484	0.00114932
573	1.66469	1.66484	0.00114732
574	1.6815	1.66487	0.00114569
575	1.69814	1.66493	0.00114515
576	1.67359	1.66495	0.00114326
577	1.65071	1.66492	0.00114155
578	1.66932	1.66493	0.0011396
579	1.63823	1.66488	0.00113856
580	1.69461	1.66493	0.00113775
581	1.6735	1.66495	0.00113589
582	1.61535	1.66486	0.00113713
583	1.64312	1.66483	0.00113579
584	1.62855	1.66476	0.00113554
585	1.66062	1.66476	0.00113363
586	1.64612	1.66473	0.00113214
587	1.67496	1.66474	0.00113034
588	1.71398	1.66483	0.00113152
589	1.63131	1.66477	0.00113103
590	1.68949	1.66481	0.00112989
591	1.64832	1.66478	0.00112832
592	1.64829	1.66476	0.00112676
593	1.67303	1.66477	0.00112494
594	1.64657	1.66474	0.00112347
595	1.67253	1.66475	0.00112165
596	1.68981	1.66479	0.00112056
597	1.67544	1.66481	0.00111882
598	1.6794	1.66484	0.00111722
599	1.69135	1.66488	0.00111623
600	1.62222	1.66481	0.00111663
601	1.60655	1.66471	0.00111897
602	1.6031	1.66461	0.00112179
603	1.67999	1.66464	0.00112022
604	1.59047	1.66451	0.00112507
605	1.64384	1.66448	0.00112373
606	1.66373	1.66448	0.00112188
607	1.6727	1.66449	0.00112011
608	1.60932	1.6644	0.00112194
609	1.6902	1.66444	0.0011209
610	1.68635	1.66448	0.00111963
611	1.68489	1.66451	0.0011183
612	1.6834	1.66454	0.0011169
613	1.6921	1.66459	0.00111598
614	1.69524	1.66464	0.00111528
615	1.64462	1.66461	0.00111394
616	1.64155	1.66457	0.00111276
617	1.63267	1.66452	0.00111216
618	1.64907	1.66449	0.00111064
619	1.64371	1.66446	0.00110935
620	1.6615	1.66445	0.00110757
621	1.68051	1.66448	0.00110609
622	1.6468	1.66445	0.00110468
623	1.64344	1.66442	0.00110342
624	1.63683	1.66437	0.00110254
625	1.69277	1.66442	0.00110171
626	1.7081	1.66449	0.00110216
627	1.63336	1.66444	0.00110152
628	1.65421	1.66442	0.00109988
629	1.65626	1.66441	0.00109821
630	1.68996	1.66445	0.00109722
631	1.69628	1.6645	0.00109664
632	1.65948	1.66449	0.00109493
633	1.6813	1.66452	0.00109352
634	1.65823	1.66451	0.00109184
635	1.64961	1.66448	0.00109037
636	1.68224	1.66451	0.00108902
637	1.66188	1.66451	0.00108732
638	1.68983	1.66455	0.00108634
639	1.69279	1.66459	0.00108553
640	1.66499	1.66459	0.00108384
641	1.66602	1.6646	0.00108215
642	1.64694	1.66457	0.00108081
643	1.6513	1.66455	0.00107933
644	1.68512	1.66458	0.00107813
645	1.69331	1.66462	0.00107737
646	1.63454	1.66458	0.00107671
647	1.66983	1.66459	0.00107508
648	1.62315	1.66452	0.00107532
649	1.64317	1.66449	0.00107417
650	1.64621	1.66446	0.00107288
651	1.65871	1.66445	0.00107127
652	1.66008	1.66444	0.00106965
653	1.66785	1.66445	0.00106802
654	1.65821	1.66444	0.00106643
655	1.61884	1.66437	0.00106707
656	1.64984	1.66435	0.00106568
657	1.63214	1.6643	0.00106518
658	1.63562	1.66426	0.00106445
659	1.66414	1.66426	0.00106284
660	1.69775	1.66431	0.00106244
