BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
470	1.11794	1.10944	0.000901183
471	1.13692	1.1095	0.000901156
472	1.08737	1.10945	0.000900465
473	1.10067	1.10943	0.000898753
474	1.08989	1.10939	0.000897803
475	1.08012	1.10933	0.000898026
476	1.13603	1.10939	0.00089789
477	1.13051	1.10943	0.000897099
478	1.14043	1.1095	0.000897563
479	1.06283	1.1094	0.000900961
480	1.11535	1.10941	0.00089917
481	1.11845	1.10943	0.000897496
482	1.126	1.10947	0.000896292
483	1.10196	1.10945	0.000894571
484	1.12669	1.10949	0.000893432
485	1.07776	1.10942	0.000893981
486	1.12396	1.10945	0.000892642
487	1.10082	1.10943	0.000890985
488	1.12195	1.10946	0.000889528
489	1.10898	1.10946	0.000887709
490	1.13751	1.10951	0.000887742
491	1.10001	1.10949	0.000886145
492	1.08398	1.10944	0.00088586
493	1.09029	1.1094	0.000884915
494	1.0945	1.10937	0.000883638
495	1.13342	1.10942	0.000883187
496	1.08921	1.10938	0.000882346
497	1.0902	1.10934	0.000881415
498	1.09801	1.10932	0.000879939
499	1.12962	1.10936	0.000879115
500	1.09482	1.10933	0.000877838
501	1.1133	1.10934	0.000876122
502	1.13018	1.10938	0.000875359
503	1.16816	1.1095	0.000881385
504	1.11932	1.10952	0.000879852
505	1.10283	1.1095	0.000878209
506	1.07391	1.10943	0.000879287
507	1.06829	1.10935	0.000881289
508	1.11777	1.10937	0.00087971
509	1.10795	1.10937	0.000877986
510	1.08648	1.10932	0.000877411
511	1.09186	1.10929	0.000876359
512	1.12972	1.10933	0.000875555
513	1.11613	1.10934	0.000873948
514	1.09607	1.10932	0.000872629
515	1.10659	1.10931	0.000870951
516	1.0928	1.10928	0.000869851
517	1.10566	1.10927	0.000868196
518	1.13787	1.10933	0.000868273
519	1.08077	1.10927	0.000868342
520	1.10329	1.10926	0.000866748
521	1.09442	1.10923	0.000865553
522	1.11201	1.10924	0.000863911
523	1.11645	1.10925	0.000862369
524	1.09696	1.10923	0.000861042
525	1.12584	1.10926	0.000859984
526	1.15512	1.10935	0.000862757
527	1.13842	1.1094	0.000862883
528	1.10658	1.1094	0.000861265
529	1.10667	1.10939	0.000859652
530	1.1001	1.10937	0.000858209
531	1.10218	1.10936	0.0008567
532	1.13239	1.1094	0.000856183
533	1.12764	1.10944	0.00085526
534	1.13221	1.10948	0.000854721
535	1.11773	1.10949	0.000853262
536	1.11625	1.10951	0.000851763
537	1.11419	1.10952	0.000850222
538	1.10929	1.10952	0.000848642
539	1.09212	1.10948	0.000847681
540	1.0882	1.10944	0.000847026
541	1.13006	1.10948	0.000846318
542	1.07791	1.10942	0.000846758
543	1.1126	1.10943	0.000845219
544	1.10888	1.10943	0.000843666
545	1.11752	1.10944	0.000842249
546	1.12743	1.10948	0.00084135
547	1.11156	1.10948	0.00083982
548	1.10995	1.10948	0.000838288
549	1.10865	1.10948	0.000836763
550	1.13852	1.10953	0.000836906
551	1.13704	1.10958	0.000836874
552	1.10035	1.10957	0.000835525
553	1.08863	1.10953	0.000834872
554	1.08386	1.10948	0.00083465
555	1.11226	1.10949	0.000833161
556	1.08226	1.10944	0.000833101
557	1.09835	1.10942	0.000831843
558	1.11157	1.10942	0.000830361
559	1.14354	1.10948	0.000831116
560	1.1296	1.10952	0.000830408
561	1.07226	1.10945	0.000831579
562	1.10076	1.10944	0.000830243
563	1.11037	1.10944	0.00082877
564	1.12864	1.10947	0.000828
565	1.08297	1.10943	0.000827862
566	1.13022	1.10946	0.000827214
567	1.0972	1.10944	0.000826038
568	1.10792	1.10944	0.000824588
569	1.08836	1.1094	0.000823971
570	1.10425	1.10939	0.000822575
571	1.0886	1.10936	0.00082194
572	1.1455	1.10942	0.000822929
573	1.09241	1.10939	0.000822028
574	1.09454	1.10936	0.000821003
