BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
319	0.878871	0.899629	0.000834034
320	0.914298	0.899675	0.000832686
321	0.912403	0.899714	0.000831036
322	0.922972	0.899787	0.000831588
323	0.908461	0.899813	0.000829447
324	0.873361	0.899732	0.000830895
325	0.897338	0.899724	0.000828371
326	0.899543	0.899724	0.000825831
327	0.885969	0.899682	0.000824376
328	0.878948	0.899619	0.000824282
329	0.872086	0.899535	0.000826014
330	0.898059	0.89953	0.000823523
331	0.918695	0.899588	0.000823068
332	0.921213	0.899653	0.000823162
333	0.895048	0.89964	0.000820806
334	0.879723	0.89958	0.000820512
335	0.90548	0.899598	0.000818252
336	0.918028	0.899652	0.000817653
337	0.885003	0.899609	0.000816381
338	0.879263	0.899549	0.000816182
339	0.913567	0.89959	0.000814821
340	0.908748	0.899617	0.00081287
341	0.90797	0.899642	0.000810855
342	0.897689	0.899636	0.000808504
343	0.907124	0.899658	0.000806442
344	0.900695	0.899661	0.000804103
345	0.894041	0.899644	0.000801937
346	0.890582	0.899618	0.000800047
347	0.880776	0.899564	0.000799582
348	0.881804	0.899513	0.000798912
349	0.91536	0.899558	0.000797912
350	0.898393	0.899555	0.000795639
351	0.913521	0.899595	0.000794367
352	0.88745	0.89956	0.000792859
353	0.889554	0.899532	0.000791119
354	0.918172	0.899585	0.000790635
355	0.912619	0.899621	0.00078926
356	0.896053	0.899611	0.000787107
357	0.884643	0.899569	0.000786018
358	0.905318	0.899585	0.000783986
359	0.926077	0.899659	0.000785267
360	0.893136	0.899641	0.000783295
361	0.914813	0.899683	0.000782252
362	0.909712	0.899711	0.000780582
363	0.908185	0.899734	0.00077878
364	0.927857	0.899811	0.000780464
365	0.899131	0.89981	0.000778328
366	0.901562	0.899814	0.000776216
367	0.89592	0.899804	0.000774173
368	0.902101	0.89981	0.000772095
369	0.915034	0.899851	0.000771104
370	0.904356	0.899863	0.000769116
371	0.893385	0.899846	0.000767241
372	0.920057	0.8999	0.0007671
373	0.89128	0.899877	0.000765391
374	0.913873	0.899915	0.000764259
375	0.899224	0.899913	0.000762223
376	0.884668	0.899872	0.000761274
377	0.895991	0.899862	0.000759324
378	0.895196	0.89985	0.000757416
379	0.902223	0.899856	0.000755443
380	0.884486	0.899815	0.000754537
381	0.898571	0.899812	0.000752564
382	0.883964	0.899771	0.000751736
383	0.909468	0.899796	0.0007502
384	0.899138	0.899794	0.000748248
385	0.916082	0.899837	0.0007475
386	0.898631	0.899833	0.00074557
387	0.89486	0.899821	0.000743754
388	0.861453	0.899722	0.000748382
389	0.917115	0.899766	0.000747792
390	0.916893	0.89981	0.000747163
