BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
251	-7.54654	-7.54721	0.000794538
252	-7.5546	-7.54724	0.000791925
253	-7.54103	-7.54722	0.000789175
254	-7.56255	-7.54728	0.000788373
255	-7.54169	-7.54726	0.000785586
256	-7.56385	-7.54732	0.000785186
257	-7.52724	-7.54724	0.00078601
258	-7.54294	-7.54723	0.00078314
259	-7.5329	-7.54717	0.000782067
260	-7.5744	-7.54728	0.000786039
261	-7.54417	-7.54726	0.000783117
262	-7.52228	-7.54717	0.000785912
263	-7.5307	-7.54711	0.000785414
264	-7.541	-7.54708	0.00078278
265	-7.57455	-7.54719	0.00078666
266	-7.52325	-7.5471	0.000788834
267	-7.53799	-7.54706	0.000786616
268	-7.55534	-7.54709	0.000784287
269	-7.52952	-7.54703	0.000784088
270	-7.54502	-7.54702	0.000781219
271	-7.53142	-7.54696	0.000780455
272	-7.52356	-7.54688	0.000782312
273	-7.55144	-7.54689	0.000779625
274	-7.55226	-7.54691	0.000777026
275	-7.53924	-7.54688	0.000774701
276	-7.54785	-7.54689	0.000771902
277	-7.54451	-7.54688	0.000769163
278	-7.55262	-7.5469	0.000766673
279	-7.53607	-7.54686	0.000764908
280	-7.55593	-7.54689	0.000762862
281	-7.56026	-7.54694	0.000761628
282	-7.54127	-7.54692	0.000759193
283	-7.54869	-7.54693	0.000756536
284	-7.54545	-7.54692	0.00075389
285	-7.54086	-7.5469	0.000751544
286	-7.55514	-7.54693	0.000749468
287	-7.54073	-7.54691	0.000747168
288	-7.54367	-7.5469	0.000744658
289	-7.56039	-7.54694	0.000743543
290	-7.55396	-7.54697	0.000741373
291	-7.57092	-7.54705	0.000743381
292	-7.56107	-7.5471	0.000742385
293	-7.53855	-7.54707	0.000740424
294	-7.53788	-7.54704	0.000738564
295	-7.53976	-7.54701	0.000736473
296	-7.531	-7.54696	0.00073597
297	-7.55895	-7.547	0.000734599
298	-7.54789	-7.547	0.00073214
299	-7.54137	-7.54698	0.000729933
300	-7.51891	-7.54689	0.000733474
301	-7.55237	-7.54691	0.000731264
302	-7.55265	-7.54693	0.000729089
303	-7.54303	-7.54691	0.000726797
304	-7.54242	-7.5469	0.000724556
305	-7.55897	-7.54694	0.00072326
306	-7.55455	-7.54696	0.000721324
307	-7.55105	-7.54698	0.000719097
308	-7.52426	-7.5469	0.000720534
309	-7.52429	-7.54683	0.000721908
310	-7.56655	-7.54689	0.000722377
311	-7.5402	-7.54687	0.000720375
312	-7.54789	-7.54688	0.000718073
313	-7.5483	-7.54688	0.000715794
314	-7.54522	-7.54687	0.000713534
315	-7.5502	-7.54689	0.000711347
316	-7.53157	-7.54684	0.000710744
317	-7.52956	-7.54678	0.000710587
318	-7.52347	-7.54671	0.000712123
319	-7.55379	-7.54673	0.000710237
320	-7.54722	-7.54673	0.000708019
321	-7.54159	-7.54672	0.000705994
322	-7.51057	-7.5466	0.00071267
323	-7.56643	-7.54667	0.000713102
324	-7.5402	-7.54665	0.00071118
