BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
363	1.92092	1.87279	0.00219788
364	1.89613	1.87286	0.00219277
365	1.86546	1.87284	0.00218686
366	1.83753	1.87274	0.00218301
367	1.85262	1.87268	0.00217775
368	1.85217	1.87263	0.00217255
369	1.85556	1.87258	0.00216715
370	1.89537	1.87264	0.00216217
371	1.89004	1.87269	0.00215685
372	1.9343	1.87286	0.0021574
373	1.84452	1.87278	0.00215295
374	1.83182	1.87267	0.00214998
375	1.87044	1.87267	0.00214425
376	1.94554	1.87286	0.00214729
377	1.95157	1.87307	0.00215172
378	1.92772	1.87321	0.00215088
379	1.8482	1.87315	0.00214622
380	1.82452	1.87302	0.00214438
381	1.81514	1.87287	0.00214413
382	1.78609	1.87264	0.00215052
383	1.80402	1.87246	0.00215235
384	1.80079	1.87227	0.00215482
385	1.80727	1.8721	0.00215583
386	1.86911	1.8721	0.00215026
387	1.84596	1.87203	0.00214576
388	1.81641	1.87189	0.00214501
389	1.81508	1.87174	0.00214447
390	1.77852	1.8715	0.00215225
391	1.85628	1.87146	0.00214709
392	1.87369	1.87147	0.00214162
393	1.81404	1.87132	0.00214115
394	1.81861	1.87119	0.00213989
395	1.83878	1.87111	0.00213605
396	1.83034	1.871	0.00213313
397	1.80741	1.87084	0.00213377
398	1.82987	1.87074	0.00213089
399	1.83763	1.87066	0.00212716
400	1.83967	1.87058	0.00212325
401	1.87352	1.87059	0.00211797
402	1.80016	1.87041	0.00211994
403	1.80673	1.87025	0.00212056
404	1.84527	1.87019	0.00211621
405	1.83761	1.87011	0.00211251
406	1.82973	1.87001	0.00210965
407	1.81816	1.86988	0.00210831
408	1.82714	1.86978	0.00210574
409	1.84415	1.86972	0.00210153
410	1.90915	1.86981	0.0020986
411	1.88413	1.86985	0.00209378
412	1.82084	1.86973	0.00209208
413	1.82529	1.86962	0.00208978
414	1.85257	1.86958	0.00208514
415	1.83585	1.8695	0.00208169
416	1.84015	1.86943	0.00207789
417	1.83563	1.86935	0.00207448
418	1.82883	1.86925	0.00207178
419	1.82338	1.86914	0.00206973
420	1.80884	1.869	0.00206978
421	1.82625	1.8689	0.00206735
422	1.83422	1.86881	0.00206408
423	1.83504	1.86873	0.00206075
424	1.81802	1.86861	0.00205935
425	1.82539	1.86851	0.00205702
426	1.87563	1.86853	0.00205226
427	1.85567	1.8685	0.00204767
428	1.85799	1.86847	0.00204304
429	1.85322	1.86844	0.00203858
430	1.82099	1.86833	0.00203683
431	1.80722	1.86819	0.00203703
432	1.83268	1.8681	0.00203397
433	1.86879	1.86811	0.00202927
434	1.85282	1.86807	0.0020249
435	1.82301	1.86797	0.0020229
436	1.83264	1.86789	0.00201988
437	1.87048	1.86789	0.00201527
438	1.90082	1.86797	0.00201207
439	1.89351	1.86803	0.00200832
440	1.82996	1.86794	0.00200562
441	1.80597	1.8678	0.00200599
442	1.79736	1.86764	0.00200777
443	1.81841	1.86753	0.00200631
444	1.80794	1.86739	0.00200628
445	1.84538	1.86734	0.00200238
446	1.79359	1.86718	0.00200471
447	1.80047	1.86703	0.00200577
448	1.86115	1.86702	0.00200134
449	1.85968	1.867	0.00199694
450	1.84764	1.86696	0.00199297
451	1.90334	1.86704	0.00199018
452	1.87388	1.86705	0.00198584
453	1.85995	1.86704	0.00198152
454	1.90178	1.86711	0.00197863
455	1.90423	1.8672	0.00197596
456	1.8477	1.86715	0.00197209
457	1.85087	1.86712	0.0019681
458	1.88383	1.86715	0.00196414
459	1.87315	1.86717	0.0019599
460	1.84098	1.86711	0.00195647
461	1.81655	1.867	0.0019553
462	1.8553	1.86697	0.00195123
463	1.8299	1.86689	0.00194866
464	1.85314	1.86686	0.00194468
465	1.82493	1.86677	0.00194259
466	1.82581	1.86669	0.00194041
467	1.83779	1.86662	0.00193724
468	1.83076	1.86655	0.00193461
469	1.89943	1.86662	0.00193176
470	1.93129	1.86676	0.00193254
471	1.83762	1.86669	0.00192943
472	1.84284	1.86664	0.00192601
473	1.80823	1.86652	0.00192589
474	1.85905	1.8665	0.00192189
475	1.87726	1.86653	0.00191798
476	1.91186	1.86662	0.00191631
477	1.83287	1.86655	0.0019136
478	1.88673	1.86659	0.00191006
479	1.87377	1.86661	0.00190613
480	1.87365	1.86662	0.00190222
481	1.90664	1.86671	0.00190008
482	1.95676	1.86689	0.0019053
483	1.95249	1.86707	0.00190958
484	1.9594	1.86726	0.00191514
485	1.90562	1.86734	0.00191282
486	1.90563	1.86742	0.00191051
487	1.90317	1.86749	0.001908
488	1.90405	1.86757	0.00190556
489	1.8817	1.8676	0.00190188
490	1.85209	1.86756	0.00189826
491	1.88257	1.8676	0.00189464
492	1.86703	1.86759	0.00189079
493	1.85331	1.86757	0.00188718
494	1.84408	1.86752	0.00188396
495	1.90964	1.8676	0.00188207
496	1.93029	1.86773	0.00188251
497	1.89235	1.86778	0.00187938
498	1.92326	1.86789	0.0018789
499	1.90221	1.86796	0.0018764
500	1.87578	1.86797	0.00187271
501	1.83904	1.86792	0.00186986
502	1.81129	1.8678	0.00186954
503	1.78651	1.86764	0.00187279
504	1.80066	1.86751	0.00187379
505	1.82363	1.86742	0.00187209
506	1.86471	1.86742	0.0018684
507	1.82423	1.86733	0.00186665
508	1.85521	1.86731	0.00186313
509	1.84604	1.86727	0.00185994
510	1.8729	1.86728	0.00185632
511	1.90106	1.86734	0.00185387
512	1.91229	1.86743	0.00185233
513	1.90628	1.86751	0.00185026
514	1.89422	1.86756	0.00184739
515	1.90954	1.86764	0.0018456
516	1.88621	1.86768	0.00184238
517	1.88644	1.86771	0.00183917
518	1.87698	1.86773	0.00183571
519	1.84618	1.86769	0.00183264
520	1.85729	1.86767	0.00182922
521	1.85941	1.86765	0.00182578
522	1.90603	1.86773	0.00182376
523	1.89412	1.86778	0.00182098
524	1.83244	1.86771	0.00181875
525	1.87998	1.86773	0.00181543
526	1.85645	1.86771	0.00181211
527	1.87282	1.86772	0.0018087
