BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
363	0.891624	0.891099	4.43604e-05
364	0.891222	0.891099	4.42399e-05
365	0.891364	0.8911	4.41246e-05
366	0.890948	0.8911	4.4006e-05
367	0.891125	0.8911	4.38862e-05
368	0.891217	0.8911	4.37681e-05
369	0.890428	0.891098	4.36873e-05
370	0.891187	0.891099	4.35699e-05
371	0.889674	0.891095	4.36213e-05
372	0.890908	0.891094	4.35069e-05
373	0.890394	0.891092	4.34308e-05
374	0.890266	0.89109	4.33709e-05
375	0.892558	0.891094	4.34316e-05
376	0.893477	0.8911	4.37759e-05
377	0.890227	0.891098	4.37211e-05
378	0.890754	0.891097	4.36149e-05
379	0.89221	0.8911	4.35986e-05
380	0.89226	0.891103	4.35906e-05
381	0.889313	0.891098	4.37286e-05
382	0.891642	0.8911	4.36372e-05
383	0.891654	0.891101	4.35473e-05
384	0.890209	0.891099	4.34958e-05
385	0.891146	0.891099	4.3383e-05
386	0.891587	0.8911	4.32891e-05
387	0.892216	0.891103	4.3273e-05
388	0.890353	0.891101	4.32047e-05
389	0.890755	0.8911	4.31028e-05
390	0.890375	0.891099	4.30324e-05
391	0.892667	0.891103	4.31088e-05
392	0.891691	0.891104	4.30249e-05
393	0.891277	0.891105	4.29177e-05
394	0.891012	0.891104	4.28094e-05
395	0.891679	0.891106	4.27258e-05
396	0.890027	0.891103	4.27047e-05
397	0.891955	0.891105	4.2651e-05
398	0.891848	0.891107	4.25846e-05
399	0.890765	0.891106	4.24865e-05
400	0.892282	0.891109	4.24819e-05
401	0.891228	0.891109	4.2377e-05
402	0.891777	0.891111	4.23041e-05
403	0.892069	0.891113	4.22659e-05
404	0.891479	0.891114	4.2171e-05
405	0.891545	0.891115	4.20803e-05
406	0.891466	0.891116	4.19855e-05
407	0.891708	0.891118	4.19075e-05
408	0.890636	0.891117	4.18214e-05
409	0.892614	0.89112	4.18791e-05
410	0.891102	0.89112	4.1777e-05
411	0.892058	0.891122	4.17376e-05
412	0.891371	0.891123	4.16407e-05
413	0.890119	0.891121	4.16108e-05
414	0.891196	0.891121	4.15107e-05
415	0.891003	0.891121	4.14116e-05
416	0.891845	0.891122	4.13487e-05
417	0.891999	0.891124	4.1303e-05
418	0.890269	0.891122	4.12548e-05
419	0.890641	0.891121	4.11723e-05
420	0.891147	0.891121	4.10743e-05
421	0.889873	0.891118	4.10836e-05
422	0.891437	0.891119	4.09932e-05
423	0.89162	0.89112	4.09134e-05
424	0.891172	0.89112	4.0817e-05
425	0.890697	0.891119	4.07331e-05
426	0.892761	0.891123	4.08193e-05
427	0.890626	0.891122	4.07403e-05
428	0.890561	0.891121	4.06662e-05
429	0.889114	0.891116	4.08396e-05
430	0.889839	0.891113	4.08524e-05
431	0.891771	0.891115	4.07862e-05
432	0.891078	0.891114	4.06918e-05
433	0.889625	0.891111	4.07429e-05
434	0.892007	0.891113	4.07013e-05
435	0.893851	0.891119	4.10916e-05
436	0.891373	0.89112	4.10015e-05
437	0.890819	0.891119	4.09135e-05
438	0.890669	0.891118	4.0833e-05
439	0.891991	0.89112	4.07883e-05
440	0.892645	0.891124	4.08426e-05
441	0.89042	0.891122	4.07811e-05
442	0.892243	0.891125	4.07677e-05
443	0.890749	0.891124	4.06845e-05
444	0.890899	0.891123	4.0596e-05
445	0.890981	0.891123	4.0506e-05
446	0.891495	0.891124	4.04238e-05
447	0.892778	0.891128	4.05024e-05
448	0.89366	0.891133	4.08047e-05
449	0.890824	0.891132	4.07197e-05
450	0.890267	0.891131	4.06746e-05
451	0.890619	0.891129	4.06002e-05
452	0.892073	0.891132	4.05641e-05
453	0.888184	0.891125	4.09929e-05
454	0.891013	0.891125	4.09034e-05
455	0.891428	0.891125	4.08189e-05
456	0.890059	0.891123	4.07963e-05
457	0.889835	0.89112	4.08044e-05
458	0.891407	0.891121	4.07201e-05
459	0.889378	0.891117	4.08081e-05
460	0.890977	0.891117	4.07205e-05
461	0.891104	0.891117	4.06322e-05
