BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
208	-5.45779	-5.46429	0.00120053
209	-5.43897	-5.46417	0.00120089
210	-5.43347	-5.46403	0.00120404
211	-5.44818	-5.46395	0.00120067
212	-5.44967	-5.46388	0.0011969
213	-5.43529	-5.46375	0.00119878
214	-5.46117	-5.46374	0.00119324
215	-5.44053	-5.46363	0.00119257
216	-5.45168	-5.46357	0.00118833
217	-5.46454	-5.46358	0.00118286
218	-5.46445	-5.46358	0.00117744
219	-5.46519	-5.46359	0.00117209
220	-5.48011	-5.46367	0.00116916
221	-5.50259	-5.46384	0.00117706
222	-5.47529	-5.46389	0.00117289
223	-5.51282	-5.46411	0.00118797
224	-5.47249	-5.46415	0.00118326
225	-5.48495	-5.46424	0.00118161
226	-5.4552	-5.4642	0.00117705
227	-5.46745	-5.46422	0.00117196
228	-5.44961	-5.46415	0.00116857
229	-5.47316	-5.46419	0.00116412
230	-5.45439	-5.46415	0.00115984
231	-5.48461	-5.46424	0.0011582
232	-5.45512	-5.4642	0.00115387
233	-5.44755	-5.46413	0.00115113
234	-5.44069	-5.46403	0.00115056
235	-5.46913	-5.46405	0.00114587
236	-5.49279	-5.46417	0.00114747
237	-5.43254	-5.46404	0.00115036
238	-5.47374	-5.46408	0.00114625
239	-5.46229	-5.46407	0.00114148
240	-5.45554	-5.46403	0.00113727
241	-5.49014	-5.46414	0.0011377
242	-5.48752	-5.46424	0.00113709
243	-5.46373	-5.46424	0.00113241
244	-5.48701	-5.46433	0.00113161
245	-5.44746	-5.46426	0.00112909
246	-5.44352	-5.46418	0.00112764
247	-5.48033	-5.46424	0.00112497
248	-5.46897	-5.46426	0.00112059
249	-5.45788	-5.46424	0.00111639
250	-5.46413	-5.46424	0.00111192
251	-5.47234	-5.46427	0.00110796
252	-5.45436	-5.46423	0.00110426
253	-5.48444	-5.46431	0.00110278
254	-5.46598	-5.46432	0.00109846
255	-5.45623	-5.46428	0.00109461
256	-5.47575	-5.46433	0.00109125
257	-5.45852	-5.46431	0.00108724
258	-5.48498	-5.46439	0.00108597
259	-5.45426	-5.46435	0.00108248
260	-5.47476	-5.46439	0.00107906
261	-5.42993	-5.46425	0.00108297
262	-5.49024	-5.46435	0.00108337
263	-5.49225	-5.46446	0.00108443
264	-5.4359	-5.46435	0.0010857
265	-5.47494	-5.46439	0.00108234
266	-5.46944	-5.46441	0.00107844
267	-5.47626	-5.46446	0.00107531
268	-5.48976	-5.46455	0.00107544
269	-5.46015	-5.46453	0.00107156
270	-5.46386	-5.46453	0.0010676
271	-5.46143	-5.46452	0.00106372
272	-5.47638	-5.46456	0.0010607
273	-5.47903	-5.46462	0.00105814
274	-5.47506	-5.46465	0.00105496
275	-5.48115	-5.46471	0.00105283
276	-5.46647	-5.46472	0.00104904
277	-5.46744	-5.46473	0.0010453
278	-5.44737	-5.46467	0.0010434
279	-5.46139	-5.46466	0.00103973
280	-5.44625	-5.46459	0.00103809
281	-5.46486	-5.46459	0.00103439
282	-5.47962	-5.46464	0.0010321
283	-5.48878	-5.46473	0.00103197
284	-5.49969	-5.46485	0.00103565
285	-5.47716	-5.4649	0.00103292
286	-5.44118	-5.46481	0.00103263
287	-5.47364	-5.46484	0.00102949
288	-5.44559	-5.46478	0.00102808
289	-5.48021	-5.46483	0.00102591
290	-5.45365	-5.46479	0.0010231
291	-5.45246	-5.46475	0.00102046
292	-5.46021	-5.46473	0.00101708
293	-5.44997	-5.46468	0.00101486
294	-5.49721	-5.46479	0.00101742
295	-5.4725	-5.46482	0.0010143
296	-5.45145	-5.46478	0.00101188
297	-5.42443	-5.46464	0.00101755
298	-5.46547	-5.46464	0.00101414
299	-5.44079	-5.46456	0.00101388
300	-5.49101	-5.46465	0.00101433
301	-5.44793	-5.46459	0.00101248
302	-5.47505	-5.46463	0.00100972
303	-5.44414	-5.46456	0.00100865
304	-5.46039	-5.46455	0.00100542
305	-5.49996	-5.46466	0.00100881
306	-5.46387	-5.46466	0.00100551
307	-5.47381	-5.46469	0.00100268
308	-5.4792	-5.46474	0.00100053
309	-5.46745	-5.46475	0.000997332
310	-5.46079	-5.46473	0.000994197
311	-5.44253	-5.46466	0.000993561
312	-5.48811	-5.46474	0.000993214
313	-5.4646	-5.46474	0.00099004
314	-5.47698	-5.46478	0.000987654
315	-5.49015	-5.46486	0.000987798
316	-5.47519	-5.46489	0.000985214
317	-5.50291	-5.46501	0.000989378
318	-5.48758	-5.46508	0.000988809
319	-5.48264	-5.46514	0.00098724
320	-5.46817	-5.46515	0.0009842
321	-5.47569	-5.46518	0.000981682
322	-5.47051	-5.46519	0.000978772
323	-5.52624	-5.46538	0.000993819
324	-5.46134	-5.46537	0.00099083
325	-5.46055	-5.46536	0.000987893
326	-5.46707	-5.46536	0.000984876
327	-5.43637	-5.46527	0.000985847
328	-5.46564	-5.46527	0.000982842
329	-5.47502	-5.4653	0.000980301
330	-5.45441	-5.46527	0.000977886
331	-5.44045	-5.4652	0.000977803
332	-5.4617	-5.46519	0.000974914
333	-5.44843	-5.46514	0.000973284
334	-5.44627	-5.46508	0.000972007
335	-5.48783	-5.46515	0.000971476
336	-5.47935	-5.46519	0.000969504
337	-5.48132	-5.46524	0.000967807
338	-5.45486	-5.46521	0.00096543
339	-5.47632	-5.46524	0.000963139
340	-5.48252	-5.46529	0.000961646
341	-5.4686	-5.4653	0.000958875
342	-5.45329	-5.46526	0.000956714
343	-5.46012	-5.46525	0.000954042
344	-5.46548	-5.46525	0.000951269
345	-5.48636	-5.46531	0.000950478
346	-5.51486	-5.46545	0.000958457
347	-5.45046	-5.46541	0.000956669
348	-5.45361	-5.46538	0.000954521
349	-5.4611	-5.46536	0.000951865
350	-5.45611	-5.46534	0.000949512
351	-5.4479	-5.46529	0.000948105
352	-5.43695	-5.46521	0.000948824
353	-5.48555	-5.46527	0.000947884
354	-5.47435	-5.46529	0.000945554
355	-5.44672	-5.46524	0.000944337
356	-5.47552	-5.46527	0.000942126
357	-5.46828	-5.46528	0.000939525
358	-5.44877	-5.46523	0.000938031
359	-5.46898	-5.46524	0.000935477
360	-5.45934	-5.46522	0.000933021
361	-5.43909	-5.46515	0.000933241
362	-5.47573	-5.46518	0.00093112
363	-5.45815	-5.46516	0.000928756
364	-5.46638	-5.46517	0.00092621
365	-5.46277	-5.46516	0.000923696
366	-5.47893	-5.4652	0.000921938
367	-5.47123	-5.46521	0.000919573
368	-5.46486	-5.46521	0.000917075
369	-5.48191	-5.46526	0.000915706
370	-5.47063	-5.46527	0.000913346
371	-5.50373	-5.46538	0.000916749
372	-5.46905	-5.46539	0.000914338
373	-5.48087	-5.46543	0.000912828
374	-5.48556	-5.46548	0.000911974
375	-5.43475	-5.4654	0.000913216
376	-5.4215	-5.46528	0.000918218
377	-5.48068	-5.46532	0.000916691
378	-5.46699	-5.46533	0.000914276
379	-5.44285	-5.46527	0.000913786
380	-5.44982	-5.46523	0.000912285
381	-5.49869	-5.46531	0.000914108
382	-5.44949	-5.46527	0.000912652
383	-5.45084	-5.46524	0.000911047
384	-5.47486	-5.46526	0.000909019
385	-5.46845	-5.46527	0.000906696
386	-5.4571	-5.46525	0.000904594
387	-5.44321	-5.46519	0.000904046
388	-5.48024	-5.46523	0.000902548
389	-5.47064	-5.46524	0.000900335
390	-5.48437	-5.46529	0.000899361
391	-5.43139	-5.46521	0.00090123
392	-5.45224	-5.46517	0.000899537
393	-5.46257	-5.46517	0.000897273
394	-5.47108	-5.46518	0.000895121
395	-5.4501	-5.46514	0.000893669
396	-5.48743	-5.4652	0.000893182
397	-5.44017	-5.46514	0.000893154
398	-5.45437	-5.46511	0.000891319
399	-5.46757	-5.46512	0.000889107
400	-5.44243	-5.46506	0.000888691
401	-5.45916	-5.46504	0.000886596
402	-5.44664	-5.465	0.000885571
403	-5.44315	-5.46494	0.000885033
404	-5.45968	-5.46493	0.000882938
405	-5.46469	-5.46493	0.000880758
406	-5.45992	-5.46492	0.000878675
407	-5.44776	-5.46488	0.000877527
408	-5.47078	-5.46489	0.000875496
409	-5.43499	-5.46482	0.000876401
410	-5.46158	-5.46481	0.000874299
411	-5.44652	-5.46476	0.000873303
412	-5.4504	-5.46473	0.00087188
413	-5.48888	-5.46479	0.000871727
414	-5.45983	-5.46478	0.000869703
415	-5.46263	-5.46477	0.000867623
416	-5.45631	-5.46475	0.000865776
417	-5.43674	-5.46468	0.000866301
418	-5.48179	-5.46472	0.000865194
419	-5.48069	-5.46476	0.000863969
420	-5.46245	-5.46476	0.000861929
421	-5.48555	-5.46481	0.000861296
422	-5.4566	-5.46479	0.000859475
423	-5.45498	-5.46476	0.000857756
424	-5.47099	-5.46478	0.000855858
425	-5.47136	-5.46479	0.000853985
426	-5.42314	-5.4647	0.000857559
427	-5.47967	-5.46473	0.000856268
428	-5.47114	-5.46475	0.000854398
429	-5.50748	-5.46485	0.000858192
430	-5.48465	-5.46489	0.000857431
431	-5.45125	-5.46486	0.000856026
432	-5.46194	-5.46485	0.000854071
433	-5.48854	-5.46491	0.000853849
434	-5.4585	-5.46489	0.000852009
435	-5.40363	-5.46475	0.00086161
436	-5.46841	-5.46476	0.000859675
437	-5.47172	-5.46478	0.000857855
438	-5.47076	-5.46479	0.000856005
439	-5.44842	-5.46475	0.000854867
440	-5.43949	-5.4647	0.000854851
441	-5.48985	-5.46475	0.000854813
442	-5.43182	-5.46468	0.000856119
443	-5.47079	-5.46469	0.000854298
444	-5.4704	-5.46471	0.000852471
445	-5.4667	-5.46471	0.000850567
446	-5.45659	-5.46469	0.000848854
447	-5.44638	-5.46465	0.000847943
448	-5.41172	-5.46453	0.000854242
449	-5.47198	-5.46455	0.0008525
450	-5.47534	-5.46457	0.000850943
451	-5.47916	-5.46461	0.00084967
452	-5.45412	-5.46458	0.000848107
453	-5.51798	-5.4647	0.000854387
454	-5.47051	-5.46471	0.000852601
455	-5.45672	-5.4647	0.000850908
456	-5.4873	-5.46474	0.000850485
457	-5.48988	-5.4648	0.0008504
458	-5.46002	-5.46479	0.000848607
459	-5.49976	-5.46487	0.000850171
460	-5.46753	-5.46487	0.000848342
461	-5.46263	-5.46487	0.000846516
462	-5.46058	-5.46486	0.000844735
463	-5.4708	-5.46487	0.000843008
464	-5.48133	-5.46491	0.000841937
465	-5.41645	-5.4648	0.000846552
466	-5.44343	-5.46476	0.000845976
467	-5.4755	-5.46478	0.000844478
468	-5.45685	-5.46476	0.000842843
469	-5.47606	-5.46479	0.00084139
470	-5.45229	-5.46476	0.00084002
471	-5.44827	-5.46472	0.000838966
472	-5.49418	-5.46479	0.000839506
473	-5.44662	-5.46475	0.000838609
474	-5.44922	-5.46472	0.000837479
475	-5.45488	-5.46469	0.000835972
476	-5.45685	-5.46468	0.000834378
477	-5.45256	-5.46465	0.000833015
478	-5.46186	-5.46465	0.000831293
479	-5.45949	-5.46464	0.000829627
480	-5.47042	-5.46465	0.000827986
481	-5.48122	-5.46468	0.000826982
482	-5.46048	-5.46467	0.000825312
483	-5.45795	-5.46466	0.00082372
484	-5.48073	-5.46469	0.000822688
485	-5.47144	-5.46471	0.000821109
486	-5.48811	-5.46476	0.00082083
487	-5.45472	-5.46473	0.000819404
488	-5.48026	-5.46477	0.000818342
489	-5.4408	-5.46472	0.000818134
490	-5.43138	-5.46465	0.000819289
491	-5.44746	-5.46461	0.000818368
492	-5.44124	-5.46457	0.000818082
493	-5.47936	-5.4646	0.000816973
494	-5.41377	-5.46449	0.000821773
495	-5.48116	-5.46453	0.000820802
496	-5.49296	-5.46459	0.000821147
497	-5.48187	-5.46462	0.000820231
498	-5.4873	-5.46467	0.000819847
499	-5.48045	-5.4647	0.000818813
500	-5.44167	-5.46465	0.00081847
501	-5.46113	-5.46464	0.000816866
502	-5.44673	-5.46461	0.000816019
503	-5.45087	-5.46458	0.000814853
504	-5.48131	-5.46461	0.000813913
505	-5.43506	-5.46456	0.000814402
506	-5.48383	-5.46459	0.000813683
507	-5.4744	-5.46461	0.000812308
508	-5.43582	-5.46456	0.000812683
509	-5.45292	-5.46453	0.000811408
510	-5.49307	-5.46459	0.000811744
511	-5.46179	-5.46458	0.000810174
512	-5.45198	-5.46456	0.000808966
513	-5.46741	-5.46456	0.000807408
514	-5.43553	-5.46451	0.000807811
515	-5.48272	-5.46454	0.000807016
516	-5.4659	-5.46455	0.000805456
517	-5.48112	-5.46458	0.000804536
518	-5.50041	-5.46465	0.000805951
519	-5.4602	-5.46464	0.000804444
520	-5.47598	-5.46466	0.000803192
521	-5.47069	-5.46467	0.000801734
522	-5.44337	-5.46463	0.000801236
523	-5.48755	-5.46468	0.000800901
524	-5.47463	-5.46469	0.000799597
525	-5.47711	-5.46472	0.000798424
526	-5.47186	-5.46473	0.000797021
527	-5.46879	-5.46474	0.000795546
528	-5.48164	-5.46477	0.000794683
529	-5.45438	-5.46475	0.000793423
530	-5.44483	-5.46471	0.000792816
531	-5.48351	-5.46475	0.000792112
532	-5.47075	-5.46476	0.000790704
533	-5.4533	-5.46474	0.000789512
534	-5.42086	-5.46466	0.000792298
535	-5.44503	-5.46462	0.000791667
536	-5.4804	-5.46465	0.000790737
537	-5.46784	-5.46466	0.000789287
538	-5.47454	-5.46467	0.000788033
539	-5.48748	-5.46472	0.000787707
540	-5.46725	-5.46472	0.000786262
541	-5.48922	-5.46477	0.000786111
542	-5.47057	-5.46478	0.000784734
543	-5.47521	-5.4648	0.000783524
544	-5.4564	-5.46478	0.000782236
545	-5.48565	-5.46482	0.000781737
546	-5.48416	-5.46485	0.000781107
547	-5.44429	-5.46482	0.000780584
548	-5.45716	-5.4648	0.000779284
549	-5.45439	-5.46478	0.000778096
550	-5.4652	-5.46478	0.000776681
551	-5.46602	-5.46479	0.000775275
552	-5.45171	-5.46476	0.000774232
553	-5.47124	-5.46478	0.000772921
