BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
253	1.65	1.65	8.76022e-09
254	1.65	1.65	8.74296e-09
255	1.65	1.65	8.7258e-09
256	1.65	1.65	8.70874e-09
257	1.65	1.65	8.69178e-09
258	1.65	1.65	8.67492e-09
259	1.65	1.65	8.65815e-09
260	1.65	1.65	8.64149e-09
261	1.65	1.65	8.62492e-09
262	1.65	1.65	8.60844e-09
263	1.65	1.65	8.59206e-09
264	1.65	1.65	8.57577e-09
265	1.65	1.65	8.7196e-09
266	1.65	1.65	8.70319e-09
267	1.65	1.65	8.68688e-09
268	1.65	1.65	8.67066e-09
269	1.65	1.65	8.65453e-09
270	1.65	1.65	8.63849e-09
271	1.65	1.65	8.62253e-09
272	1.65	1.65	8.60667e-09
273	1.65	1.65	8.59089e-09
274	1.65	1.65	8.5752e-09
275	1.65	1.65	8.55959e-09
276	1.65	1.65	8.54407e-09
277	1.65	1.65	8.52864e-09
278	1.65	1.65	8.51328e-09
279	1.65	1.65	8.49801e-09
280	1.65	1.65	8.48282e-09
281	1.65	1.65	8.46772e-09
282	1.65	1.65	8.45269e-09
283	1.65	1.65	8.5898e-09
284	1.65	1.65	8.57467e-09
285	1.65	1.65	8.55961e-09
286	1.65	1.65	8.54463e-09
287	1.65	1.65	8.52973e-09
288	1.65	1.65	8.51491e-09
289	1.65	1.65	8.50017e-09
290	1.65	1.65	8.4855e-09
291	1.65	1.65	8.47091e-09
292	1.65	1.65	8.45639e-09
293	1.65	1.65	8.44195e-09
294	1.65	1.65	8.42758e-09
295	1.65	1.65	8.41328e-09
296	1.65	1.65	8.39906e-09
297	1.65	1.65	8.38491e-09
298	1.65	1.65	8.37083e-09
299	1.65	1.65	8.35682e-09
300	1.65	1.65	8.34288e-09
301	1.65	1.65	8.32901e-09
302	1.65	1.65	8.3152e-09
303	1.65	1.65	8.30147e-09
304	1.65	1.65	8.43197e-09
305	1.65	1.65	8.41813e-09
306	1.65	1.65	8.40437e-09
307	1.65	1.65	8.39067e-09
308	1.65	1.65	8.37704e-09
309	1.65	1.65	8.36347e-09
310	1.65	1.65	8.34997e-09
311	1.65	1.65	8.19401e-09
312	1.65	1.65	8.03604e-09
313	1.65	1.65	7.87595e-09
314	1.65	1.65	7.8634e-09
315	1.65	1.65	7.70134e-09
316	1.65	1.65	7.53685e-09
317	1.65	1.65	7.36976e-09
318	1.65	1.65	7.35816e-09
319	1.65	1.65	7.18859e-09
320	1.65	1.65	7.01602e-09
321	1.65	1.65	6.84021e-09
322	1.65	1.65	6.82958e-09
323	1.65	1.65	6.65058e-09
324	1.65	1.65	6.46777e-09
325	1.65	1.65	6.45782e-09
326	1.65	1.65	6.27119e-09
327	1.65	1.65	6.08002e-09
328	1.65	1.65	5.88388e-09
329	1.65	1.65	5.87493e-09
330	1.65	1.65	5.6736e-09
331	1.65	1.65	5.46615e-09
332	1.65	1.65	5.45791e-09
333	1.65	1.65	5.24394e-09
334	1.65	1.65	5.02222e-09
335	1.65	1.65	5.01472e-09
336	1.65	1.65	4.78453e-09
337	1.65	1.65	4.54417e-09
338	1.65	1.65	4.53744e-09
339	1.65	1.65	4.28558e-09
340	1.65	1.65	4.01958e-09
341	1.65	1.65	4.01368e-09
342	1.65	1.65	3.73095e-09
343	1.65	1.65	3.42682e-09
344	1.65	1.65	3.42184e-09
345	1.65	1.65	3.09049e-09
346	1.65	1.65	3.08602e-09
347	1.65	1.65	2.71743e-09
348	1.65	1.65	2.29295e-09
349	1.65	1.65	2.28966e-09
350	1.65	1.65	1.77031e-09
351	1.65	1.65	1.01856e-09
352	1.65	1.65	1.01712e-09
353	1.65	1.65	1.02185e-09
354	1.65	1.65	1.0204e-09
355	1.65	1.65	1.76135e-09
356	1.65	1.65	2.26979e-09
357	1.65	1.65	2.26661e-09
358	1.65	1.65	2.67767e-09
359	1.65	1.65	2.67394e-09
