BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
347	0.0611552	0.0618056	6.5991e-05
348	0.0615031	0.0618047	6.58071e-05
349	0.0608477	0.061802	6.56756e-05
350	0.0618219	0.061802	6.5488e-05
351	0.0619523	0.0618024	6.53028e-05
352	0.0633118	0.0618067	6.52579e-05
353	0.0628111	0.0618096	6.51351e-05
354	0.06446	0.0618171	6.538e-05
355	0.0646697	0.0618251	6.56878e-05
356	0.063368	0.0618294	6.56461e-05
357	0.0632293	0.0618334	6.55792e-05
358	0.0629502	0.0618365	6.54702e-05
359	0.0628259	0.0618392	6.53458e-05
360	0.0636686	0.0618443	6.53616e-05
361	0.0649965	0.061853	6.57612e-05
362	0.065463	0.061863	6.63313e-05
363	0.0640485	0.061869	6.64213e-05
364	0.0641663	0.0618753	6.65379e-05
365	0.063868	0.0618808	6.65792e-05
366	0.0628879	0.0618836	6.64542e-05
367	0.0640568	0.0618895	6.65364e-05
368	0.0628301	0.061892	6.64047e-05
369	0.0650993	0.0619007	6.67911e-05
370	0.063817	0.0619059	6.68111e-05
371	0.0625681	0.0619077	6.66549e-05
372	0.0621307	0.0619083	6.64784e-05
373	0.0618191	0.0619081	6.63006e-05
374	0.0596492	0.061902	6.63978e-05
375	0.0619639	0.0619022	6.6221e-05
376	0.0625917	0.061904	6.60703e-05
377	0.0626065	0.0619059	6.59213e-05
378	0.062403	0.0619072	6.576e-05
379	0.0640972	0.061913	6.58399e-05
380	0.0632813	0.0619166	6.5765e-05
381	0.0622147	0.0619174	6.5597e-05
382	0.0631861	0.0619207	6.55094e-05
383	0.0628866	0.0619232	6.53868e-05
384	0.0631184	0.0619263	6.52906e-05
385	0.0656941	0.0619361	6.58504e-05
386	0.0644333	0.0619426	6.59968e-05
387	0.0631618	0.0619457	6.59015e-05
388	0.0628674	0.0619481	6.57744e-05
389	0.0641499	0.0619538	6.58484e-05
390	0.0636131	0.061958	6.58169e-05
391	0.0643285	0.0619641	6.59272e-05
392	0.0626365	0.0619658	6.57813e-05
393	0.0632517	0.0619691	6.56953e-05
394	0.0623518	0.06197	6.55357e-05
395	0.0618544	0.0619697	6.53704e-05
