BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
267	1.21199	1.23828	0.00153628
268	1.19387	1.23812	0.00153946
269	1.21932	1.23805	0.00153532
270	1.23034	1.23802	0.0015299
271	1.24755	1.23806	0.00152466
272	1.24933	1.2381	0.00151962
273	1.24423	1.23812	0.00151422
274	1.21243	1.23803	0.00151159
275	1.1789	1.23781	0.00152131
276	1.18848	1.23763	0.00152626
277	1.21268	1.23754	0.00152341
278	1.22101	1.23748	0.00151909
279	1.28296	1.23765	0.00152236
280	1.23993	1.23765	0.00151695
281	1.23872	1.23766	0.00151155
282	1.26083	1.23774	0.00150842
283	1.24952	1.23778	0.00150367
284	1.30575	1.23802	0.0015173
285	1.27337	1.23814	0.00151704
286	1.25846	1.23822	0.00151339
287	1.23809	1.23822	0.00150812
288	1.21782	1.23814	0.00150455
289	1.23325	1.23813	0.00149943
290	1.25212	1.23818	0.00149504
291	1.26484	1.23827	0.00149271
292	1.24323	1.23828	0.00148769
293	1.26457	1.23837	0.00148532
294	1.2508	1.23842	0.00148087
295	1.2245	1.23837	0.0014766
296	1.24791	1.2384	0.00147196
297	1.22141	1.23834	0.00146812
298	1.23481	1.23833	0.00146324
299	1.23854	1.23833	0.00145835
300	1.23775	1.23833	0.00145349
301	1.24027	1.23834	0.00144867
302	1.22801	1.2383	0.00144428
303	1.22969	1.23828	0.00143979
304	1.23523	1.23827	0.00143509
305	1.24616	1.23829	0.00143062
306	1.24393	1.23831	0.00142606
307	1.23295	1.23829	0.00142152
308	1.23569	1.23828	0.00141693
309	1.26481	1.23837	0.00141494
310	1.25832	1.23843	0.00141184
311	1.21986	1.23837	0.00140856
312	1.21678	1.2383	0.00140575
313	1.20711	1.23821	0.00140479
314	1.2132	1.23813	0.00140257
315	1.20646	1.23803	0.00140171
316	1.25377	1.23807	0.00139816
317	1.22884	1.23805	0.00139406
318	1.23601	1.23804	0.00138969
319	1.26279	1.23812	0.0013875
320	1.23639	1.23811	0.00138317
321	1.2182	1.23805	0.00138025
322	1.21101	1.23797	0.00137852
323	1.22045	1.23791	0.00137532
324	1.25653	1.23797	0.00137227
325	1.25247	1.23801	0.00136877
326	1.21363	1.23794	0.00136662
327	1.21106	1.23786	0.00136491
328	1.20898	1.23777	0.00136358
329	1.2074	1.23768	0.00136256
330	1.23558	1.23767	0.00135844
