BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
395	0.772241	0.77818	0.00023566
396	0.78056	0.778186	0.000235141
397	0.779506	0.778189	0.000234572
398	0.776355	0.778185	0.000234028
399	0.775563	0.778178	0.000233534
400	0.782013	0.778188	0.000233147
401	0.782085	0.778197	0.000232768
402	0.777712	0.778196	0.000232192
403	0.781805	0.778205	0.000231789
404	0.768504	0.778181	0.000232455
405	0.779786	0.778185	0.000231915
406	0.781297	0.778193	0.00023147
407	0.774701	0.778184	0.000231061
408	0.778136	0.778184	0.000230494
409	0.775638	0.778178	0.000230015
410	0.775903	0.778172	0.000229521
411	0.780187	0.778177	0.000229015
412	0.771188	0.77816	0.000229086
413	0.781999	0.778169	0.00022872
414	0.781894	0.778178	0.000228345
415	0.779623	0.778182	0.000227821
416	0.773397	0.77817	0.000227563
417	0.780403	0.778176	0.000227081
418	0.778096	0.778176	0.000226537
419	0.779672	0.778179	0.000226025
420	0.778864	0.778181	0.000225493
421	0.780889	0.778187	0.000225049
422	0.777779	0.778186	0.000224518
423	0.78199	0.778195	0.000224167
424	0.783701	0.778208	0.000224014
425	0.776824	0.778205	0.00022351
426	0.768832	0.778183	0.000224066
427	0.785152	0.778199	0.000224135
428	0.773399	0.778188	0.000223892
429	0.785392	0.778205	0.000223999
430	0.780528	0.77821	0.000223543
431	0.780971	0.778217	0.000223116
432	0.782114	0.778226	0.000222782
433	0.765022	0.778195	0.000224345
434	0.787906	0.778218	0.000224941
435	0.778798	0.778219	0.000224428
436	0.78655	0.778238	0.000224725
437	0.764587	0.778207	0.000226371
438	0.777179	0.778204	0.000225867
439	0.780026	0.778209	0.00022539
440	0.774729	0.778201	0.000225017
441	0.771279	0.778185	0.000225053
442	0.783921	0.778198	0.000224918
443	0.764381	0.778167	0.000226563
444	0.78143	0.778174	0.000226172
445	0.77294	0.778162	0.000225969
446	0.783535	0.778174	0.000225783
447	0.778843	0.778176	0.000225283
448	0.776523	0.778172	0.00022481
449	0.781047	0.778179	0.000224401
450	0.774007	0.778169	0.000224094
451	0.775912	0.778164	0.000223653
452	0.782952	0.778175	0.000223409
453	0.781999	0.778183	0.000223075
454	0.776756	0.77818	0.000222606
455	0.770453	0.778163	0.000222763
456	0.787513	0.778184	0.000223216
457	0.771942	0.77817	0.000223145
458	0.78231	0.778179	0.000222841
459	0.787812	0.7782	0.000223342
460	0.775212	0.778194	0.000222951
