BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
217	-7.55285	-7.55288	0.000468474
218	-7.56681	-7.55295	0.000470659
219	-7.55153	-7.55294	0.000468555
220	-7.55305	-7.55294	0.000466425
221	-7.55667	-7.55296	0.00046462
222	-7.55274	-7.55296	0.000462528
223	-7.56046	-7.55299	0.000461675
224	-7.55311	-7.55299	0.000459614
225	-7.54676	-7.55297	0.000458406
226	-7.56086	-7.553	0.000457706
227	-7.55493	-7.55301	0.000455768
228	-7.56238	-7.55305	0.000455617
229	-7.55629	-7.55306	0.000453848
230	-7.54946	-7.55305	0.000452145
231	-7.56367	-7.55309	0.000452519
232	-7.55382	-7.5531	0.00045058
233	-7.54933	-7.55308	0.000448935
234	-7.55296	-7.55308	0.000447017
235	-7.54718	-7.55306	0.000445821
236	-7.54812	-7.55303	0.000444421
237	-7.57323	-7.55312	0.000450642
238	-7.54928	-7.5531	0.000449037
239	-7.54507	-7.55307	0.000448413
240	-7.54325	-7.55303	0.000448407
241	-7.55751	-7.55305	0.000446931
242	-7.55693	-7.55306	0.000445372
243	-7.56148	-7.5531	0.000444885
244	-7.54722	-7.55307	0.000443714
245	-7.54922	-7.55306	0.000442181
246	-7.55887	-7.55308	0.000441014
247	-7.5529	-7.55308	0.000439229
248	-7.54807	-7.55306	0.000437923
249	-7.53656	-7.55299	0.000441147
250	-7.5594	-7.55302	0.000440125
251	-7.54539	-7.55299	0.00043942
252	-7.548	-7.55297	0.000438122
253	-7.55132	-7.55296	0.000436439
254	-7.56013	-7.55299	0.000435631
255	-7.55052	-7.55298	0.00043403
256	-7.55507	-7.55299	0.000432411
257	-7.55353	-7.55299	0.000430734
258	-7.55397	-7.553	0.000429081
259	-7.56547	-7.55304	0.00043012
260	-7.5519	-7.55304	0.000428489
261	-7.55566	-7.55305	0.000426965
262	-7.53714	-7.55299	0.000429629
263	-7.55423	-7.55299	0.000428022
264	-7.54664	-7.55297	0.000427077
265	-7.55473	-7.55298	0.000425518
266	-7.54911	-7.55296	0.000424166
267	-7.55348	-7.55296	0.000422582
268	-7.55231	-7.55296	0.000421012
269	-7.5633	-7.553	0.000421197
270	-7.55878	-7.55302	0.00042018
271	-7.55062	-7.55301	0.000418723
272	-7.54824	-7.553	0.000417551
273	-7.54503	-7.55297	0.000417039
274	-7.54658	-7.55294	0.000416167
275	-7.56738	-7.553	0.00041795
276	-7.55225	-7.55299	0.000416445
277	-7.5482	-7.55298	0.000415301
278	-7.5413	-7.55293	0.000415926
279	-7.55727	-7.55295	0.000414726
280	-7.56022	-7.55297	0.000414057
281	-7.54375	-7.55294	0.000413882
282	-7.55474	-7.55295	0.000412464
283	-7.56088	-7.55298	0.000411957
284	-7.55382	-7.55298	0.000410517
285	-7.556	-7.55299	0.000409213
286	-7.53927	-7.55294	0.000410586
287	-7.54961	-7.55293	0.00040932
288	-7.55878	-7.55295	0.000408401
289	-7.55617	-7.55296	0.000407141
290	-7.55465	-7.55297	0.000405778
291	-7.57015	-7.55303	0.000408656
292	-7.54042	-7.55298	0.000409531
293	-7.55751	-7.553	0.000408425
294	-7.55274	-7.553	0.000407036
295	-7.54843	-7.55298	0.000405951
296	-7.55297	-7.55298	0.00040458
297	-7.56067	-7.55301	0.000404044
298	-7.55192	-7.553	0.000402705
